prompt_id,prompt_score,mean_reply_score,mean_llm_reply_score,mean_final_reply_score,participant_count
prompt_001,0.98,0.79,0.9125,0.4575,4
prompt_002,0.95,0.7000000000000001,0.9975,0.18250000000000002,4
prompt_003,0.51,0.8699999999999999,1.0,0.28600000000000003,5
prompt_004,1.0,0.635,1.0,0.51,4
prompt_005,0.06999999999999995,0.38999999999999996,1.0,0.6,3
prompt_006,0.14,0.53,0.96,0.54,2
prompt_007,0.0,0.7133333333333334,0.8366666666666666,0.63,3
prompt_008,0.0,0.78,0.975,0.46,2
prompt_009,0.010000000000000009,0.37666666666666665,1.0,0.5766666666666667,3
prompt_010,0.030000000000000027,0.2715384615384615,0.9123076923076923,0.3046153846153846,13
prompt_011,0.050000000000000044,0.21400000000000002,0.37,0.333,10
prompt_012,0.020000000000000018,0.21307692307692305,0.8692307692307693,0.17846153846153848,13
prompt_013,0.010000000000000009,0.19166666666666665,0.6,0.23166666666666666,12
prompt_014,0.020000000000000018,0.3618181818181818,0.7418181818181818,0.3836363636363636,11
prompt_015,0.020000000000000018,0.5435714285714286,0.8735714285714286,0.5207142857142857,14
prompt_016,0.020000000000000018,0.050000000000000044,0.65,1.0,1
prompt_017,0.0,0.37333333333333335,0.7799999999999999,0.03666666666666666,3
prompt_018,0.48,0.12,0.8200000000000001,0.4,2
prompt_019,0.08999999999999997,0.2833333333333333,0.7666666666666666,0.42333333333333334,3
prompt_020,0.040000000000000036,0.020000000000000018,0.65,0.8049999999999999,2
prompt_021,0.010000000000000009,0.38499999999999995,0.65,0.435,2
