timestamp,participant_id,medium,input_method,row_role,llm_provider,prompt_text,reply_text,participant_reply_text,llm_reply_text,final_reply_text,transcript,response_time_seconds,words_per_minute,keypress_count,backspace_count,paste_used,correction_applied,manual_edit_count,edit_ratio,keystrokes_per_character,backspaces_per_word,edit_activity_compact,prompt_style,prompt_tone,prompt_seriousness,prompt_formality,prompt_id,prompt_source,reply_style,reply_analysis_status,reply_analysis_basis,transcript_status,transcript_source,formality_label,formality_confidence,formality_match_prompt_reply,bert_label,bert_raw,bert_confidence,audio_filename,log_row_id,edit_trace_available,revision_count,inserted_chars_est,deleted_chars_est,net_char_change,manual_edit_chars_after_transcript_est,voice_transcript_initial_chars,edit_trace_path
2026-05-22T11:44:03,P013,Email,Typing,participant_reply,,"From: colleague@example.com
Subject: Conversations

What makes a conversation feel enjoyable or productive to you?","A conversation feels enjoyable if all parties involved actively feel like they're contributing to the conversation and ideally, learn something as well.","A conversation feels enjoyable if all parties involved actively feel like they're contributing to the conversation and ideally, learn something as well.",,,,119.798,11.02,229,21,no,no,21,0.1382,1.5066,0.9545,B21P0A0,,,,formal,prompt_003,url_param,,ok,reply_text,,,,0.0,no,,,,,261338a1-fef2-4d6e-882d-5d1ab99acf80,yes,7,202,50,152,0,0,data/edit_traces/P013/261338a1-fef2-4d6e-882d-5d1ab99acf80.json
2026-05-22T11:44:23,P013,Email,Typing,participant_reply,,"From: colleague@example.com
Subject: Conversations

What makes a conversation feel enjoyable or productive to you?",No problem :),No problem :),,No problem :),,140.106,1.28,17,1,no,no,1,0.0769,1.3077,0.3333,B1P0A0,,,,formal,prompt_003,url_param,,ok,reply_text,,,,0.0,no,,,,,718b3bb3-8561-41d4-824f-3822398a1ed6,yes,1,14,153,13,0,0,data/edit_traces/P013/718b3bb3-8561-41d4-824f-3822398a1ed6.json
2026-05-22T11:48:02,P013,Messenger,Typing,participant_reply,,"What is an achievement you are personally satisfied with, and why does it matter to you?","I'm not entirely sure, I have lots of things I think I'm semi-proud of, but nothing extraordinary, really. Not sure.","I'm not entirely sure, I have lots of things I think I'm semi-proud of, but nothing extraordinary, really. Not sure.",,,,100.624,11.93,144,11,no,no,11,0.0948,1.2414,0.55,B11P0A0,,,,formal,prompt_004,url_param,,ok,reply_text,,,,0.0,no,,,,,9cadc252-0ce5-4c3c-b079-8ebef9e38626,yes,0,127,11,116,0,0,data/edit_traces/P013/9cadc252-0ce5-4c3c-b079-8ebef9e38626.json
2026-05-22T11:48:57,P013,Messenger,Typing,participant_reply,,"What is an achievement you are personally satisfied with, and why does it matter to you?","Yeah, I agree. It's probably all about perspective, and what adds up to matter for you personally.","Yeah, I agree. It's probably all about perspective, and what adds up to matter for you personally.",,"Yeah, I agree. It's probably all about perspective, and what adds up to matter for you personally.",,52.586,19.4,168,12,no,no,12,0.1224,1.7143,0.7059,B12P0A0,,,,formal,prompt_004,url_param,,ok,reply_text,,,,0.0,no,,,,,c3150840-7dd4-4522-8075-d8892c94d954,yes,10,143,161,98,0,0,data/edit_traces/P013/c3150840-7dd4-4522-8075-d8892c94d954.json
2026-05-22T11:54:33,P013,Email,Typing,participant_reply,,"From: advisor@example.com
Subject: Work environment

What type of environment helps you focus or work most effectively?","I'm honestly still kinda of figuring that out, but overall I think a collaborative space with a few people working together works best for me. It helps to have something external to add a little bit of pressure.","I'm honestly still kinda of figuring that out, but overall I think a collaborative space with a few people working together works best for me. It helps to have something external to add a little bit of pressure.",,,,151.1486,15.08,83,13,no,no,13,0.0616,0.3934,0.3421,B13P0A0,,,,formal,prompt_005,url_param,,ok,reply_text,,,,0.0,no,,,,,038ef037-cc30-455c-8ba0-3dadefd10c86,yes,51,245,34,211,0,0,data/edit_traces/P013/038ef037-cc30-455c-8ba0-3dadefd10c86.json
2026-05-22T11:55:10,P013,Email,Typing,participant_reply,,"From: advisor@example.com
Subject: Work environment

What type of environment helps you focus or work most effectively?",No problem :),No problem :),,No problem :),,188.2537,0.96,18,6,no,no,6,0.4615,1.3846,2.0,B6P0A0,,,,formal,prompt_005,url_param,,ok,reply_text,,,,0.0,no,,,,,501fb7a9-889e-42fb-a7a7-0475990781d7,yes,3,19,217,13,0,0,data/edit_traces/P013/501fb7a9-889e-42fb-a7a7-0475990781d7.json
2026-05-22T12:03:35,P013,Messenger,Typing,participant_reply,,What's some random thing you know how to do that actually comes in handy,"I know a few things when it comes to tech support, but it's not really so random, or uncommon. Still useful though. Other than that, not much (yet), but surely I'll learn something cool at some point.","I know a few things when it comes to tech support, but it's not really so random, or uncommon. Still useful though. Other than that, not much (yet), but surely I'll learn something cool at some point.",,,,113.0122,19.64,234,14,no,no,14,0.07,1.17,0.3784,B14P0A0,,,,formal,prompt_007,url_param,,ok,reply_text,,,,0.0,no,,,,,06d5d4f1-0739-4147-b8e9-229f845f0b3a,yes,22,253,53,200,0,0,data/edit_traces/P013/06d5d4f1-0739-4147-b8e9-229f845f0b3a.json
2026-05-22T13:18:07,P013,Email,Typing,participant_reply,,"From: colleague@example.com
Subject: Conversations

What makes a conversation feel enjoyable or productive to you?","I think a conversation is productive if it teaches me something or furthers a goal, or if it fulfills a need i have, for instance the need for socialization.","I think a conversation is productive if it teaches me something or furthers a goal, or if it fulfills a need i have, for instance the need for socialization.",,,,92.241,18.86,166,4,no,no,4,0.0255,1.0573,0.1379,B4P0A0,,,,formal,prompt_003,url_param,,ok,reply_text,,,,0.0,no,,,,,20e13769-2647-4aba-aa66-b3c19e535f9d,yes,0,161,4,157,0,0,data/edit_traces/P013/20e13769-2647-4aba-aa66-b3c19e535f9d.json
2026-05-22T13:18:47,P013,Email,Typing,participant_reply,,"From: colleague@example.com
Subject: Conversations

What makes a conversation feel enjoyable or productive to you?",No worries! :D,No worries! :D,,No worries! :D,,131.163,1.37,24,3,no,no,3,0.2143,1.7143,1.0,B3P0A0,,,,formal,prompt_003,url_param,,ok,reply_text,,,,0.0,no,,,,,54baf299-9e69-4745-81e0-0d98551159e3,yes,1,17,160,14,0,0,data/edit_traces/P013/54baf299-9e69-4745-81e0-0d98551159e3.json
2026-05-22T13:22:55,P013,Messenger,Typing,participant_reply,,"What is an achievement you are personally satisfied with, and why does it matter to you?","I suppose one such achievement would be deadlifting 150, because i spent a lot of time working towards it!","I suppose one such achievement would be deadlifting 150, because i spent a lot of time working towards it!",,,,180.696,6.31,125,7,no,no,7,0.066,1.1792,0.3684,B7P0A0,,,,formal,prompt_004,url_param,,ok,reply_text,,,,0.0,no,,,,,e7f1c73a-ae9f-42b1-b725-a10867cd587d,yes,0,113,7,106,0,0,data/edit_traces/P013/e7f1c73a-ae9f-42b1-b725-a10867cd587d.json
